2018-11-02 18:01:01.527 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext -Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@592d9d9a: startup date [Fri Nov 02 18:01:01 CST 2018]; root of context hierarchy
2018-11-02 18:01:01.828 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor -JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-11-02 18:01:01.890 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$39b05475] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2018-11-02 19:04:21.085 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.springcloud.minaportal.MinaPortalApplicationTests], using SpringBootContextLoader
2018-11-02 19:04:21.095 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.springcloud.minaportal.MinaPortalApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-11-02 19:04:21.096 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.springcloud.minaportal.MinaPortalApplicationTests]: MinaPortalApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-11-02 19:04:21.307 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.springcloud.minaportal.MinaPortalApplication for test class com.springcloud.minaportal.MinaPortalApplicationTests
2018-11-02 19:04:21.341 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-11-02 19:04:21.392 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@52c71145, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@b3ef378, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@51e2510c, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@613714d3, org.springframework.test.context.support.DirtiesContextTestExecutionListener@67385a81, org.springframework.test.context.transaction.TransactionalTestExecutionListener@24be0018, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@35f83a80, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@3bc8c52e, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7a096dab, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@ff3425, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@72b869a5, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@29200a7a]
2018-11-02 19:04:21.399 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.springcloud.minaportal.MinaPortalApplicationTests], using SpringBootContextLoader
2018-11-02 19:04:21.400 [main] INFO  o.s.t.c.s.AbstractContextLoader -Could not detect default resource locations for test class [com.springcloud.minaportal.MinaPortalApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2018-11-02 19:04:21.401 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [com.springcloud.minaportal.MinaPortalApplicationTests]: MinaPortalApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2018-11-02 19:04:21.421 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Found @SpringBootConfiguration com.springcloud.minaportal.MinaPortalApplication for test class com.springcloud.minaportal.MinaPortalApplicationTests
2018-11-02 19:04:21.440 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2018-11-02 19:04:21.456 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper -Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@752f4771, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@72fb87d1, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5f91e550, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@63661834, org.springframework.test.context.support.DirtiesContextTestExecutionListener@43bf30e7, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3d23b070, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7214a86b, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@2a3d4350, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1c0e4eda, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@6f5ad899, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@35425dec, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@18244c45]
2018-11-02 19:04:22.501 [main] INFO  o.s.c.a.AnnotationConfigApplicationContext -Refreshing org.springframework.context.annotation.AnnotationConfigApplicationContext@2bab91af: startup date [Fri Nov 02 19:04:22 CST 2018]; root of context hierarchy
2018-11-02 19:04:22.795 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor -JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2018-11-02 19:04:22.866 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker -Bean 'configurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$46420b88] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
